ID,Group,Credit,Title,Prof,Time,Description,URL
27838,1,3,بازرسی جوش,امیرحسین کوکبی، مجید پور انوری,شنبه و دوشنبه 15 تا 16:30,کنفرانس 1,cw.sharif.edu
27858,1,3,روش اجزاء محدود,سیامک سراج زاده,یک‌شنبه و سه‌شنبه 10:30 تا 12,,cw.sharif.edu
27868,1,2,شکل‌دادن گرم ,عباس اکبرزاده چنگیز,یک‌شنبه 15 تا 17,کنفرانس 1,cw.sharif.edu
27869,1,3,مکانیک محیط‌های پیوسته,سیامک سراج زاده,شنبه و دوشنبه 9 تا 10:30,کنفرانس 2,cw.sharif.edu
27875,1,3,خواص مواد پیشرفته ,علی نعمتی,یک‌شنبه و سه‌شنبه 7:30 تا 9,کنفرانس 1,cw.sharif.edu
27877,1,2,شکل‌دادن ورق ,عباس اکبرزاده چنگیز,یک‌شنبه 13 تا 15,,cw.sharif.edu
27878,1,1,آز شکل‌دادن پیشرفته,محسن کاظمی نژاد,چهارشنبه 13:30 تا 16:30,,
27898,1,2,مواد مغناطیسی پیشرفته ,سیدحمیدرضا مداح حسینی,شنبه 13 تا 15,کنفرانس 2,cw.sharif.edu
27899,1,2,تئوری الکترونی مواد,سیروس عسگری,دوشنبه 8 تا 10,,cw.sharif.edu
27900,1,2,بافت مواد کریستالی ,عباس اکبرزاده چنگیز,شنبه 15 تا 17,کنفرانس 2,cw.sharif.edu
27928,1,2,سینتیک پیشرفته,سیدخطیب الاسلام صدرنژاد,شنبه و دوشنبه 9 تا 10:30,,cw.sharif.edu
27939,1,2,الکتروشیمی پیشرفته ,ابوالقاسم دولتی,دوشنبه 10:30 تا 12:30,کنفرانس 1,cw.sharif.edu
27941,1,2,خوردگی پیشرفته ,عبداله افشار,دوشنبه 13 تا 15,کنفرانس 1,cw.sharif.edu
27942,1,2,ممانعت‌کننده‌های خوردگی ,ابوالقاسم دولتی,سه‌شنبه 13 تا 15,,
27953,1,2,پلیمر پیشرفته,رضا باقری,چهارشنبه 8 تا 10,کنفرانس 2,cw.sharif.edu
27955,1,3,تئوری نابجایی‌ها,رضا علیزاده بلوچی,یک‌شنبه و سه‌شنبه 10:30 تا 12,,cw.sharif.edu
27973,1,3,انجماد پیشرفته ,حسین آشوری,یک‌شنبه و سه‌شنبه 9 تا 10:30,کنفرانس 2,vc.sharif.edu/ashuri
27974,1,1,خطا در اندازه‌گیری,محسن کاظمی نژاد,یک‌شنبه 14 تا 15,کنفرانس 2,vc.sharif.edu/mkazemi
27976,1,2,خزش,رضا علیزاده بلوچی,دوشنبه 15 تا 17,کنفرانس 2,cw.sharif.edu
27992,1,3,ریاضیات مهندسی پیشرفته ,سیامک سراج زاده,شنبه و دوشنبه 10:30 تا 12,,cw.sharif.edu
28016,1,3,دینامیک سیالات محاسباتی ,محمد صادق کریمی,شنبه و دوشنبه 13:30 تا 15,,cw.sharif.edu
28019,1,3,طراحی سیستم‌های کنترل ,محمد دورعلی,یک‌شنبه و سه‌شنبه 9 تا 10:30,,vc.sharif.edu/durali
28031,1,3,ریاضیات پیشرفته ۱ ,محمدعلی بیجارچی,شنبه و دوشنبه 13:30 تا 15,,cw.sharif.edu
28031,2,3,ریاضیات پیشرفته ۱ ,علی موسوی,یک‌شنبه و سه‌شنبه 9 تا 10:30,,vc.sharif.edu/moosavi
28031,3,3,ریاضیات پیشرفته ۱ ,علیرضا طاهری,یک‌شنبه و سه‌شنبه 13:30 تا 15,,vc.sharif.edu/artaheri
28031,4,3,ریاضیات پیشرفته ۱ ,علیرضا طاهری,یک‌شنبه و سه‌شنبه 15 تا 16:30,,vc.sharif.edu/artaheri
28033,1,3,مکانیک محیط‌های پیوسته ۱ ,رضا نقدآبادی,شنبه و دوشنبه 9 تا 10:30,,vc.sharif.edu/naghdabd
